applicant_id,business_name,industry,founded_date,annual_revenue,num_employees
cdb36c4b-19f8-47a5-884d-34137a29e28d,"Wiggins, Gonzalez and Richardson",Construction,2021-09-25,4574367.01,37
78b26783-8d03-41ba-98b3-1afe1f5d78e4,Esparza Group,Healthcare,2015-06-18,1141870.07,32
96089d0c-316c-4ca7-8cab-9a07a5f9559d,"Wagner, Williams and Willis",Food Services,2015-08-05,4434947.45,42
2896f2cd-40a3-4700-a260-7ae58c89953e,Gutierrez LLC,Food Services,2018-09-11,800070.79,9
5dfd515c-6c43-40a5-80c9-4f72728a962e,Clements-Willis,Construction,2023-04-28,3750446.01,35
b750bfed-5501-49e3-b4b3-7bde230b1051,"Jordan, Carr and Holland",Healthcare,2021-08-12,3760367.68,28
6be1fc3a-9af0-4845-bcd2-4480ca962847,Hall-Brooks,Manufacturing,2021-01-24,2057062.48,15
672ab2f9-63f1-4d7d-b3ca-fdfc1a579aab,Kent LLC,Construction,2023-10-30,2596678.84,6
8f31b4f9-65d4-4628-b906-514e85844e38,"Smith, Sanchez and Wilcox",Retail,2018-02-21,4319404.26,10
e1f1638f-8768-4773-a7b6-6cf0cb6c96cc,Pollard-Potter,Construction,2020-04-25,3981188.89,28
7e77e3ad-8809-4a1a-b34b-4289a8ad6230,Smith-Mclean,Manufacturing,2017-07-18,411285.76,25
a2eef428-210d-46c3-a4da-462778e3e4e2,Hill and Sons,Manufacturing,2023-03-08,4980994.76,34
033a5e23-62a6-4ebf-ab8f-d3bda0f7fb98,Rodriguez LLC,Healthcare,2022-04-01,4858284.05,1
9443e062-9519-4457-806a-e8e98d16a8f7,Matthews-Williams,Retail,2016-08-18,3440380.81,35
846dc565-2a4f-47ca-993e-0881b0ab58bd,James Inc,Healthcare,2022-10-20,3866133.79,22
57ab3fc8-fa75-4b02-9f8c-c4d0935b695e,Torres-Jones,Retail,2015-12-14,1538150.63,11
64a4e711-b5b4-4447-94ce-a23307dffba1,"Cook, Guerrero and Gomez",Food Services,2018-10-25,115902.05,47
0c5a48b3-a3b9-4d0d-a686-5c8b6541e56e,Stone Ltd,Healthcare,2016-03-24,4862251.68,49
e86b8c9b-7924-4bb9-a87b-c16d81dffbfa,"Wood, Johnson and Reyes",Construction,2018-08-04,2587640.21,7
57ad3132-acde-41bd-9dc4-73c319809f56,Young Group,Healthcare,2023-10-18,4224179.81,33
5c5bad06-bc8e-4887-95db-e29a97572f91,Haney LLC,Manufacturing,2021-04-22,1074664.4,24
